date,title,url,impacted_commodity,summary
2020-01-02T03:45:00.000000,China copper downstream activity expanded for a 4th straight month in December-Shanghai Metals Market,https://news.metal.com/newscontent/101012055/China-copper-downstream-activity-expanded-for-a-4th-straight-month-in-December/,copper,"SMM survey data show Chinese copper downstream activity expanded for a fourth straight month in December, led by stronger electronics, home appliances and auto output/restocking, despite slower growth and weather/smog disruptions. New export orders improved amid US-China trade-talk progress. Copper purchasing prices rose as copper rallied on demand optimism and Beijing stimulus."
2020-01-02T06:30:00.000000,"Copper rises on China policy easing, trade deal hopes",https://o.canada.com/pmn/business-pmn/copper-rises-on-china-policy-easing-trade-deal-hopes/wcm/3f0302e8-cbed-457e-a3c2-91f9c8735647,"copper,nickel,aluminium","London copper rose about 1% after China cut bank reserve requirements to release liquidity and support slowing growth. Investors also cheered hopes for a Jan. 15 U.S.-China Phase 1 trade deal. Chilean copper output fell, while nickel gained and aluminium was flat, reflecting mixed base-metals sentiment."
2020-01-02T19:30:00.000000,China copper outlook brightens with miners likely to shine most,https://www.afr.com/markets/commodities/china-copper-outlook-brightens-with-miners-likely-to-shine-most-20200103-p53oh0,copper,"Chinese copper stocks are regaining favour as demand prospects brighten. The piece attributes earlier copper weakness to factors that have eased, including progress toward a US-China interim trade deal and stabilising Chinese economic data. Jiangxi Copper is highlighted for strong performance, suggesting improved near-term market sentiment for copper."
2020-01-02T21:15:00.000000,Union rejects restructure of nickel company in New Caledonia,https://www.rnz.co.nz/international/pacific-news/406598/union-rejects-restructure-of-nickel-company-in-new-caledonia,nickel,"A New Caledonian union rejected Vale’s planned restructure of its nickel operations, arguing against redundancy plans and proposed nickel ore exports if refinery closure proceeds. Vale faces losses, has flagged closure of its nickel refinery, and put its stake up for sale, with speculation of Chinese interest in assets."
2020-01-03T00:45:00.000000,Utah copper mine seeks extension despite potential groundwater contamination,https://kjzz.com/news/local/utah-copper-mine-seeks-extension-despite-potential-groundwater-contamination,copper,"A Utah copper mine (Lisbon Valley) is seeking permits to extend operations by using an experimental acid-based extraction process involving diluted sulfuric acid pumped underground. The company argues it is safe and could add at least 25 years of mine life, while environmentalists warn about possible groundwater contamination risk."
2020-01-03T04:30:00.000000,"Mianhu Copper's 100,000 mt/year of copper rod capacity to come online in Jan-Shanghai Metals Market",https://news.metal.com/newscontent/101012581/Mianhu-Copper/,copper,"Jiangmen Mianhu Copper plans to begin batch charging and trial production of its 100,000 mt/year copper rod project on January 7, with facilities switched on in late December. The plant is currently in furnace drying, indicating incremental copper processing supply coming online shortly."
2020-01-03T06:15:00.000000,Shanghai aluminum slips to 2-week low; nickel dives,https://o.canada.com/pmn/business-pmn/shanghai-aluminum-slips-to-2-week-low-nickel-dives/wcm/9966109c-1889-464f-a9b5-330c79866c14,"nickel,aluminium","Shanghai aluminum fell to a more-than-two-week low as Chinese consumer stocks rose, with inventories up and LME cash discounts widening on weaker near-term demand signals. Nickel also plunged, with London briefly down sharply and ShFE nickel hitting a multi-day low, reflecting broad risk-off metal pressure into January."
2020-01-03T06:15:00.000000,Shanghai aluminum slips to 2-week low; nickel dives,https://o.canada.com/pmn/business-pmn/shanghai-aluminum-slips-to-2-week-low-nickel-dives/wcm/9966109c-1889-464f-a9b5-330c79866c14,"copper,nickel,aluminium","Shanghai aluminum prices fell to a more than two-week low as Chinese aluminum inventories rose 18,000 tonnes and weak near-term demand signals appeared (wider cash-to-forward discount). Nickel “dived,” with ShFE nickel down around 2% to its lowest since mid-December. Copper was also slightly lower."
2020-01-03T09:30:00.000000,"Shanghai bonded copper stocks rose 3,750 mt on week-Shanghai Metals Market","https://news.metal.com/newscontent/101012827/Shanghai-bonded-copper-stocks-rose-3,750-mt-on-week/",copper,"Shanghai bonded-area copper inventories rose for a third straight week, up 3,750 mt from a week earlier to 247,750 mt as of Jan 3, according to SMM data. Higher stocks suggest improved near-term supply/availability in the physical market, which is typically a negative signal for copper prices."
2020-01-03T09:30:00.000000,Nickel ore inventories at Chinese ports declined to 14.06 million wmt-Shanghai Metals Market,https://news.metal.com/newscontent/101012819/Nickel-ore-inventories-at-Chinese-ports-declined-to-1406-million-wmt/,nickel,"SMM data show nickel ore inventories across Chinese ports fell by 40,000 wmt to 14.06 million wmt in the week ended Jan 3. Stocks at seven major ports also declined to 11.19 million wmt. In metal content terms, inventories dropped to 120,300 mt."
2020-01-03T13:45:00.000000,Evening Comments (Jan 3): Copper dropped to 3-week low as Middle East tensions flared-Shanghai Metals Market,https://news.metal.com/newscontent/101012901/Evening-Comments-%28Jan-3%29:-Copper-dropped-to-3-week-low-as-Middle-East-tensions-flared/,"copper,nickel,aluminium","Shanghai copper prices fell to a three-week low as Middle East tensions flared after a US air strike killed an Iranian official, prompting a risk-off move. The dollar strengthened and gold rose. SHFE nonferrous metals declined: copper -1%, nickel -2.9%, and aluminium -0.2%, with comments on inventories and technical levels."
2020-01-03T19:45:00.000000,Canada's First Quantum weighs $1 billion Zambian copper mine expansion -document,https://o.canada.com/pmn/business-pmn/canadas-first-quantum-weighs-1-billion-zambian-copper-mine-expansion-document/wcm/94f8a13b-8552-4b46-ab9b-06018c581e1b,copper,"First Quantum is weighing a roughly $1 billion expansion at Zambia’s Kansanshi copper mine to extend mine life and raise output over time to about 300,000 tonnes from 235,000 tonnes. Approval may hinge on changes to Zambia’s tax regime amid disputes and arbitration involving the state miner ZCCM-IH."
